word,hint,sort_order
лигнит,,1
сердар,,2
трскар,,3
спавач,,4
видрин,,5
врцати,,6
влачар,,7
сервис,,8
списак,,9
ђешђир,,10
превео,,11
колето,,12
повећи,,13
младић,,14
рудаст,,15
хрчков,,16
умиран,,17
калцан,,18
кључни,,19
дрндав,,20
кораци,Покрети приликом ходања,21
лежећи,,22
купити,,23
сотона,,24
титрав,,25
санети,,26
анилин,,27
блесав,,28
масакр,,29
лавабо,,30
хамада,,31
читати,Разумевање писаног текста,32
цинкер,,33
прести,,34
балкон,Тераса на фасади зграде,35
тунара,,36
телећи,,37
шантав,,38
хирург,Лекар специјалиста за операције,39
фротир,,40
курвар,,41
вдасат,,42
синчић,,43
раглан,,44
шакаст,,45
погнут,,46
сомчић,,47
глогић,,48
сличан,,49
делити,,50
џомбав,,51
особен,,52
крњаво,,53
назути,,54
уморан,,55
цвикер,,56
штитић,,57
јагода,црвено воће са семенкама споља,58
звечац,,59
кончан,,60
подвик,,61
клиско,,62
десети,,63
ксенон,,64
лолати,,65
столар,Занатлија који ради са дрветом,66
сретан,,67
учитељ,особа која предаје деци,68
пепита,,69
ризоид,,70
губити,,71
вртлар,,72
гумаст,,73
цикати,,74
сироче,,75
трагач,Онај који нешто упорно тражи,76
козлац,,77
фрљати,,78
ручник,,79
мечати,,80
шиштав,,81
гласит,,82
грињав,,83
унисон,,84
смртан,,85
крзнар,,86
креаол,,87
етички,,88
онакав,,89
злурад,,90
фарбар,,91
скочан,,92
кротак,,93
опасач,,94
кнежић,,95
котлет,,96
дренов,,97
перчин,,98
грашак,,99
премор,,100
ткивни,,101
зачини,Ароматичне биљке и прахови за укус јела,102
обамро,,103
цупкав,,104
рефрен,,105
угибао,,106
белити,,107
лечити,,108
њушити,"Тражити мирисом, као пас",109
дебакл,,110
торбар,,111
аматер,,112
гњатић,,113
плбван,,114
тишати,,115
забава,Активност ради уживања,116
линета,,117
тишина,Одсуство звука и буке,118
штапац,,119
амнион,,120
вољети,,121
псетар,,122
тераца,,123
девати,,124
митити,,125
хладан,супротно од топао,126
чистка,,127
трнути,,128
духови,Невидљива бића из легенди или прича,129
брокат,,130
занети,,131
гурање,Физички помак неког предмета или особе,132
лацман,,133
грчати,,134
шмокља,,135
дралон,,136
сраман,,137
славан,,138
облити,,139
фосфат,,140
цигура,,141
жичара,Средство превоза које се креће по ужету,142
просац,,143
грахов,,144
брашно,"Бели прах добијен млевењем пшенице, основа за хлеб",145
кидљив,,146
љуспав,,147
палити,,148
устока,,149
севдах,,150
џакати,,151
дефиле,,152
пурити,,153
смотак,,154
волети,Имати љубав према некоме или нечему,155
врстан,,156
гласни,,157
гадост,,158
омотач,,159
купажа,,160
словен,,161
смоков,,162
зможни,,163
федери,Металне опруге које се сабијају,164
портал,,165
бакута,,166
сукљав,,167
сламен,,168
кожаст,,169
наћвар,,170
литица,,171
браник,,172
доктор,особа која лечи људе,173
дводом,,174
канкан,,175
укупан,,176
надути,,177
далеко,није близу,178
робити,,179
уорити,,180
ткачки,,181
листић,,182
савити,,183
убуђао,,184
брснат,,185
хрипав,,186
почути,,187
крагуљ,,188
епител,,189
мркаст,,190
риљати,,191
трунић,,192
госпар,,193
труљав,,194
племен,Заједница са заједничким пореклом и обичајима,195
екавац,,196
јунаци,"Храбре особе, хероји",197
сиваст,,198
обрнут,,199
банкет,,200
ђаурче,,201
сводан,,202
затрка,,203
жиласт,,204
куглат,,205
стрвен,,206
сквика,,207
таблет,,208
муфљуз,,209
потећи,,210
чамчић,,211
